chunk	reservoirs	coordinates		
0	0			
1	1	[132.194 133.45  144.754 148.208]		
2	0			
3	0			
4	0			
5	0			
6	0			
7	0			
8	0			
9	0			
10	1	[151.034 130.624 157.    137.218]		
11	0			
12	1	[106.446   3.454 124.658  19.468]		
13	1	[ 96.084  89.804 101.736 102.992]		
14	1	[ 70.022 142.556  85.408 152.29 ]		
15	0			
16	0			
17	0			
18	0			
19	0			
20	0			
21	0			
22	0			
23	0			
24	0			
25	0			
26	0			
27	0			
28	0			
29	0			
30	0			
31	0			
32	0			
33	0			
34	0			
35	0			
36	0			
37	0			
38	0			
39	0			
40	0			
41	0			
42	0			
43	0			
44	0			
45	0			
46	0			
47	0			
48	0			
49	0			
50	0			
51	0			
52	0			
53	0			
54	0			
55	0			
56	0			
57	0			
58	0			
59	0			
60	0			
61	0			
62	0			
63	0			
64	0			
65	0			
66	0			
67	0			
68	0			
69	0			
70	0			
71	1	[ 61.544 121.204  71.278 133.45 ]		
72	1	[ 59.974  92.63   71.906 104.248]		
73	0			
74	0			
75	0			
76	0			
77	0			
78	0			
79	0			
80	0			
81	1	[47.1   52.438 55.892 59.032]		
82	0			
83	0			
84	0			
85	0			
86	0			
87	0			
88	0			
89	0			
90	0			
91	0			
92	0			
93	0			
94	0			
95	0			
96	0			
97	0			
98	0			
99	0			
100	0			
101	0			
102	0			
103	0			
104	0			
105	0			
106	0			
107	0			
108	0			
109	0			
110	0			
111	0			
112	0			
113	0			
114	0			
115	0			
116	0			
117	0			
118	0			
119	0			
120	0			
121	0			
122	0			
123	0			
124	0			
125	0			
126	0			
127	0			
128	0			
129	0			
130	0			
131	0			
132	0			
133	0			
134	0			
135	0			
136	0			
137	0			
138	0			
139	0			
140	0			
141	1	[62.8    8.478 75.36  20.096]		
142	0			
143	0			
144	0			
145	0			
146	1	[143.184  21.98  152.29   38.936]		
147	0			
148	3	[103.306  59.346 109.9    67.196]	[ 95.77   59.346 103.62   66.882]	[12.874 53.066 19.468 59.032]
149	1	[ 67.51  123.088  76.93  130.31 ]		
150	3	[110.528 103.934 120.576 113.354]	[142.556  99.538 149.778 106.132]	[151.034  98.596 157.    104.248]
151	1	[ 22.922 149.15   32.656 157.   ]		
152	0			
153	0			
154	0			
155	0			
156	0			
157	0			
158	0			
159	0			
160	0			
161	0			
162	0			
163	0			
164	0			
165	0			
166	0			
167	0			
168	0			
169	0			
170	0			
171	0			
172	0			
173	0			
174	0			
175	0			
176	0			
177	0			
178	0			
179	0			
180	0			
181	0			
182	0			
183	0			
184	0			
185	0			
186	0			
187	0			
188	0			
189	0			
190	0			
191	0			
192	0			
193	0			
194	0			
195	0			
196	0			
197	0			
198	0			
199	0			
200	0			
201	0			
202	0			
203	0			
204	0			
205	0			
206	0			
207	0			
208	0			
209	0			
210	0			
211	2	[25.12  80.698 36.424 87.606]	[67.824 53.694 79.756 65.312]	
212	0			
213	2	[ 91.374 136.59  105.504 150.092]	[28.26  74.104 42.704 85.094]	
214	0			
215	0			
216	0			
217	0			
218	0			
219	2	[ 95.456  96.712 111.784 114.296]	[ 60.602 125.286  75.674 134.706]	
220	2	[128.426  91.06  139.416  97.026]	[139.416  97.026 139.416  97.026]	
221	2	[  4.396 150.092  10.99  157.   ]	[94.514 86.978 99.538 91.688]	
222	0			
223	3	[ 66.254 109.586  76.302 120.576]	[140.358  73.476 157.     82.896]	[146.952  10.362 156.058  27.946]
224	0			
225	0			
226	0			
227	0			
228	0			
229	0			
230	0			
231	0			
232	0			
233	0			
234	0			
235	0			
236	0			
237	0			
238	0			
239	0			
240	0			
241	0			
242	0			
243	0			
244	0			
245	0			
246	0			
247	0			
248	0			
249	0			
250	0			
251	0			
252	0			
253	0			
254	0			
255	0			
256	0			
257	0			
258	0			
259	0			
260	0			
261	0			
262	0			
263	0			
264	0			
265	0			
266	0			
267	0			
268	0			
269	0			
270	0			
271	0			
272	0			
273	0			
274	0			
275	0			
276	0			
277	0			
278	0			
279	0			
280	1	[127.17   68.138 143.184  84.152]		
281	1	[122.146 111.156 130.938 123.402]		
282	0			
283	0			
284	0			
285	0			
286	0			
287	0			
288	2	[ 55.578 138.16   65.94  145.382]	[50.554 56.206 57.148 63.114]	
289	3	[ 90.432  64.998 100.48   75.046]	[52.124 54.636 58.09  58.404]	[54.95  48.042 63.428 56.52 ]
290	2	[104.876 120.89  116.18  134.706]	[101.736  39.564 113.982  52.124]	
291	0			
292	1	[ 81.326  95.456  98.596 106.446]		
293	0			
294	0			
295	0			
296	0			
297	0			
298	0			
299	0			
300	0			
301	0			
302	0			
303	0			
304	0			
305	0			
306	0			
307	0			
308	0			
309	0			
310	0			
311	0			
312	0			
313	0			
314	0			
315	0			
316	0			
317	0			
318	0			
319	0			
320	0			
321	0			
322	0			
323	0			
324	0			
325	0			
326	0			
327	0			
328	0			
329	0			
330	0			
331	0			
332	0			
333	0			
334	0			
335	0			
336	0			
337	0			
338	0			
339	0			
340	0			
341	0			
342	0			
343	0			
344	0			
345	0			
346	0			
347	0			
348	0			
349	0			
350	1	[129.682   0.    150.092  11.304]		
351	0			
352	0			
353	0			
354	2	[46.158 40.506 59.66  52.752]	[ 88.234  12.56  109.9    24.178]	
355	0			
356	0			
357	0			
358	0			
359	1	[ 33.284 121.204  48.356 132.194]		
360	1	[124.972 127.798 131.252 142.556]		
361	1	[ 48.67  137.218  57.776 151.662]		
362	1	[ 0.    48.356 26.69  71.278]		
363	0			
364	0			
365	0			
366	0			
367	0			
368	0			
369	0			
370	0			
371	0			
372	0			
373	0			
374	0			
375	0			
376	0			
377	0			
378	0			
379	0			
380	0			
381	0			
382	0			
383	0			
384	0			
385	0			
386	0			
387	0			
388	0			
389	0			
390	0			
391	0			
392	0			
393	0			
394	0			
395	0			
396	0			
397	0			
398	0			
399	0			
400	0			
401	0			
402	0			
403	0			
404	0			
405	0			
406	0			
407	0			
408	0			
409	0			
410	0			
411	0			
412	0			
413	0			
414	0			
415	0			
416	0			
417	0			
418	0			
419	0			
420	1	[121.518  81.326 129.996  90.118]		
421	1	[33.284 16.014 48.356 24.806]		
422	1	[61.858  9.106 70.022 20.41 ]		
423	0			
424	0			
425	0			
426	0			
427	3	[139.416  99.852 154.488 107.388]	[126.542 137.846 138.474 144.44 ]	[152.29  129.054 157.    135.648]
428	0			
429	0			
430	1	[17.27  32.342 29.516 40.192]		
431	0			
432	0			
433	0			
434	0			
435	0			
436	0			
437	0			
438	0			
439	0			
440	0			
441	0			
442	0			
443	0			
444	0			
445	0			
446	0			
447	0			
448	0			
449	0			
450	0			
451	0			
452	0			
453	0			
454	0			
455	0			
456	0			
457	0			
458	0			
459	0			
460	0			
461	0			
462	0			
463	0			
464	0			
465	0			
466	0			
467	0			
468	0			
469	0			
470	0			
471	0			
472	0			
473	0			
474	0			
475	0			
476	0			
477	0			
478	0			
479	0			
480	0			
481	0			
482	0			
483	0			
484	0			
485	0			
486	0			
487	0			
488	0			
489	0			
490	0			
491	0			
492	0			
493	0			
494	0			
495	0			
496	0			
497	1	[48.984 67.824 58.404 74.732]		
498	0			
499	0			
500	0			
501	0			
502	0			
503	0			
504	0			
505	0			
506	0			
507	0			
508	0			
509	0			
510	0			
511	0			
512	0			
513	0			
514	0			
515	0			
